town,province
george,Western Cape
CAPE TOWN,Western Cape
jOhAnNeSbUrG,Gauteng
Pretoria,Gauteng
Soweto,Gauteng
Centurion,Gauteng
krugersdorp,Gauteng
durban,KwaZulu-Natal
Pietermaritzburg,KwaZulu-Natal
Newcastle,KwaZulu-Natal
Richards Bay,KwaZulu-Natal
bloemfontein,Free State
Welkom,Free State
Bethlehem,Free State
Parys,Free State
Polokwane,Limpopo
Tzaneen,Limpopo
Mokopane,Limpopo
Bela-Bela,Limpopo
Mbombela,Mpumalanga
Emalahleni,Mpumalanga
Secunda,Mpumalanga
Middelburg,Mpumalanga
Gqeberha,Eastern Cape
East London,Eastern Cape
Makhanda,Eastern Cape
Mthatha,Eastern Cape
Jeffreys Bay,Eastern Cape
Kimberley,Northern Cape
Upington,Northern Cape
Springbok,Northern Cape
De Aar,Northern Cape
Mahikeng,North West
Rustenburg,North West
Potchefstroom,North West
Klerksdorp,North West
Stellenbosch,Western Cape
Paarl,Western Cape
Knysna,Western Cape
Hermanus,Western Cape
Oudtshoorn,Western Cape
